"id","group_organization","name","description","status"
"1","17","SALES & MARKETING MANAGER",,"1"
"2","17","ASISTEN MANAGER GUDANG",,"1"
"3","17","SENIOR SUPERVISOR SALES & MARKETING ",,"1"
"4","17","GOVERNMENT SPECIALIST",,"1"
"5","17","PEMIMPIN CABANG & CABANG UTAMA",,"1"
"6","17","PEMIMPIN CABANG PEMBANTU & CABANG PEMBANTU",,"1"
"7","17","SUPERVISOR SALES MARKETING ADMIN & FAKTUR",,"1"
"8","17","SUPERVISOR SALES & MARKETING",,"1"
"9","17","STAFF SALES & MARKETING",,"1"
"10","17","ADMIN MARKETING CLAIM & FAKTUR",,"1"
"11","17","STAFF FAKTUR",,"1"
"12","17","ADMIN SALES",,"1"
"13","17","STOCK CONTROL",,"1"
"14","17","ADMIN GUDANG",,"1"
"15","17","MECHANIC ",,"1"
"16","17","DRIVER",,"1"
"17","17","HELPER",,"1"
"18","19","SERVICE MANAGER",,"1"
"19","19","KOORDINATOR SERVICE",,"1"
"20","19","WARRANTY CLAIM & TOOLS",,"1"
"21","19","ADMIN SERVICE",,"1"
"22","19","SRO",,"1"
"23","18","SPARE PART MANAGER",,"1"
"24","18","SENIOR SUPERVISOR GUDANG SPARE PART",,"1"
"25","18","SENIOR SUPERVISOR SALES SPARE PART",,"1"
"26","18","SUPERVISOR ADMIN SPARE PART",,"1"
"27","18","ADMIN GUDANG SPARE PART",,"1"
"28","18","CHECKER SPARE PART",,"1"
"29","18","LOKETTER SPARE PART",,"1"
"30","18","DRIVER SPARE PART",,"1"
"31","18","HELPER SPARE PART",,"1"
"32","18","MESSENGER SPARE PART",,"1"
"33","18","STAFF ADMIN PEMBELIAN SPARE PART",,"1"
"34","18","STAFF KASIR & ADMIN PENJUALAN SPARE PART",,"1"
"36","18","COUNTER SPARE PART PUSAT",,"1"
"37","18","SALESMAN SPARE PART",,"1"
"38","9","HR MANAGER",,"1"
"39","9","HR SENIOR SUPERVISOR",,"1"
"40","9","IR SUPERVISOR",,"1"
"41","9","KPI & PROMOTION OFFICER",,"1"
"42","9","RECRUITMENT & ASSESSMENT OFFICER",,"1"
"43","9","KPI & PROMOTION ADMIN",,"1"
"44","9","IR STAFF",,"1"
"45","9","RECRUITMENT & ASSESSMENT STAFF",,"1"
"46","21","TRAINING & DEVELOPMENT MANAGER",,"1"
"47","21","SENIOR SUPERVISOR TR & DEV NON AFTER SALES ",,"1"
"48","21","SENIOR SUPERVISOR TR & DEV AFTER SALES",,"1"
"49","21","STAFF TR & DEV NON AFTER SALES",,"1"
"50","21","STAFF ADMIN TRAINING & DEVELOPMENT ",,"1"
"51","6","ASISTEN MANAGER IT",,"1"
"52","6","SOFTWARE DEVELOPMENT / PROGRAMMER SUPERVISOR",,"1"
"53","6","PROGRAMMER STAFF",,"1"
"54","6","IT SUPPORT STAFF",,"1"
"55","6","HARDWARE & NETWORK STAFF",,"1"
"56","1","GENERAL MANAGER ACCOUNTING",,"1"
"57","1","ASISTEN MANAGER ACCOUNTING",,"1"
"58","1","SENIOR SUPERVISOR ACCOUNTING",,"1"
"59","1","SENIOR SUPERVISOR HOLDING TAX",,"1"
"60","1","SUPERVISOR ACCOUNTING",,"1"
"61","1","SUPERVISOR HOLDING TAX",,"1"
"62","1","STAFF ACCOUNTING",,"1"
"63","1","STAFF TAX",,"1"
"64","8","GENERAL MANAGER FINANCE",,"1"
"65","8","SENIOR SUPERVISOR PIUTANG (AR)",,"1"
"66","8","ACT. SENIOR SUPERVISOR FINANCE",,"1"
"67","8","SENIOR SUPERVISOR HUTANG (AP)",,"1"
"68","8","SUPERVISOR COLLECTOR",,"1"
"69","8","SUPERVISOR PERBANKAN",,"1"
"70","8","SUPERVISOR PIUTANG",,"1"
"71","8","SUPERVISOR FINANCE",,"1"
"72","8","SUPERVISOR HUTANG ",,"1"
"73","8","SUPERVISOR CABANG",,"1"
"75","8","STAFF KASIR PUSAT",,"1"
"76","8","STAFF FINANCE",,"1"
"77","8","STAFF FINANCE & KASIR PUSAT",,"1"
"78","8","STAFF ADMIN CASH OUT",,"1"
"79","8","STAFF ADMIN CASH IN",,"1"
"81","2","JUNIOR MANAGER INTERNAL AUDIT",,"1"
"82","2","SENIOR SUPERVISOR INTERNAL AUDIT",,"1"
"83","2","SUPERVISOR INTERNAL AUDIT",,"1"
"84","2","STAFF INTERNAL AUDIT",,"1"
"85","4","ASSET MANAGER",,"1"
"86","4","SENIOR SUPERVISOR OPERATION & ADMINISTRATION",,"1"
"87","4","SENIOR SUPERVISOR ENGINEERING",,"1"
"88","4","SUPERVISOR OPERATION & ADMINISTRATION",,"1"
"89","4","SUPERVISOR ENGINEERING",,"1"
"90","4","SECURITY COORDINATOR ",,"1"
"91","4","ENGINEERING LEADER",,"1"
"92","4","SECURITY GUARD",,"1"
"93","4","FRONT KEEPER",,"1"
"94","4","ASSET ADMINISTRATION",,"1"
"95","4","TALENT RELATION",,"1"
"96","4","SALES & MARKETING",,"1"
"97","4","GENERAL SUPPORT ",,"1"
"98","4","MECHANICAL & ELECTRICAL",,"1"
"99","4","HVAC TECHNICIAN",,"1"
"100","4","CIVIL & CARPENTER (CC)",,"1"
